record_id|record_type|name_or_title|role_or_function|ward|date|source_url|date_scraped
AG-001|Contact|Kalomo Town Council - General Contact Information|"Email: towncouncilkalomo@gmail.com | Address: 128 Independence Avenue, along T1 Livingstone-Lusaka road, Southern Province, Zambia | P.O. Box 620062 | Office hours: Mon-Fri 08:00-17:00 Hrs"|N/A|N/A|https://www.kalomocouncil.gov.zm/?page_id=770|2026-09-11
AG-002|Leadership|Coy Makaya|Council Chairperson|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=3782|2026-09-11
AG-003|Leadership|Lisa Mpasela|Council Secretary (per the 2023 IDP launch and a 2023-referenced CDF commissioning news post; a later Council Secretary, Trophius Kufanga, is documented separately below - exact handover date not confirmed in available sources)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=1799|2026-09-11
AG-004|Leadership|Trophius Kufanga|Council Secretary (per the council's Web-Based MIS launch article; the same individual is separately documented as Council Secretary at Masaiti Town Council in a 2023 public notice, consistent with routine inter-council transfer of council secretaries - exact appointment date to Kalomo not stated in the source)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=4672|2026-09-11
AG-005|Leadership|Joshua Munsaka Sikaduli|District Commissioner (Office of the President / central government appointee, not Council staff, but a recurring civic leader at Council events)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=4672|2026-09-11
AG-006|Leadership|Jimmy Mubanga|Director of Finance|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=3782|2026-09-11
AG-007|Leadership|Joel Mweempe|Director of Engineering|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=3782|2026-09-11
AG-008|Leadership|Judith Beene|Director of Information and Communication Technology (ICT)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=4672|2026-09-11
AG-009|Leadership|Harry Kamboni|Member of Parliament, Kalomo Central Constituency (national office, not a Council office; UPND, MP since 2016 per Wikipedia)|N/A|N/A|https://en.wikipedia.org/wiki/Kalomo_Central|2026-09-11
AG-010|Leadership|Valencia Simwale|Vice Council Chairperson; also serves as the Naluja Ward Councillor (dual role as listed on the Civic Leaders page)|Naluja Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-11
AG-011|Leadership|Edgar Sing'ombe|Member of Parliament, Dundumwezi Constituency (national office, not a Council office; UPND, MP since 2006 per Wikipedia, also named at a Council CDF-project commissioning event)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=1799|2026-09-11
AG-012|Department|Office of the Council Secretary|Administrative leadership and coordination of Council activities; interprets government policy into implementable programmes|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=4672|2026-09-11
AG-013|Department|Finance Department|Budget preparation/performance, revenue and expenditure management|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=3782|2026-09-11
AG-014|Department|Engineering Department|Implementation of CDF, ZDSP and Roads Grant infrastructure projects|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=3782|2026-09-11
AG-015|Department|Information and Communication Technology (ICT) Unit|Council digital systems, incl. the Web-Based Management Information System (MIS)|N/A|N/A|https://www.kalomocouncil.gov.zm/?p=4672|2026-09-11
AG-016|Ward|Valencia Simwale|Ward Councillor|Naluja Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-11
AG-017|Ward|Vincent Hamukwala|Ward Councillor|Mikata Ward|N/A|https://www.kalomocouncil.gov.zm/?page_id=2871|2026-09-11
